technology,capex_usd,energy_mw,link_budget_db,latency_ms,data_rate_mbps,transmission_range_km,max_network_size,channel_bandwidth_khz
Wi-Fi 7 (802.11be),134.66666666666666,39000.0,73.0,1.0,5800.0,0.175,1200.0,320000.0
Wi-Fi 6 (802.11ax),4.65,15000.0,113.0,9.77,9600.0,0.04,8191.0,20000.0
Wi-Fi HaLow (802.11ah),21.060000000000002,115.5,114.5,14.0,78.0,1.0,1600.0,16000.0
5G RedCap (NR-Light),123.12,366.3,144.0,10.0,150.0,250.0,1000.0,20000.0
NB-IoT (Cat-NB2),22.05,87.0,151.0,5500.0,0.25,15.0,1000.0,200.0
LTE-M (Cat-M1),70.48998333333333,391.49999999999994,146.0,20.0,0.128,22.0,1000.0,1400.0
LoRaWAN,386.8143333333333,102.3,154.0,60000.0,0.05,0.5,65536.0,125.0
Sigfox,10.066333333333333,33.0,159.0,600.0,0.027,15.0,60000.0,100.0
Bluetooth 5.4 (BLE),14.495833333333334,18.0,117.1,30.0,1.0,0.15,32640.0,2000.0
Zigbee 3.0,3.75,28.2,119.5,60.0,0.25,10.0,100.0,5000.0
Thread (1.3),3.69,15.9,124.9,30.0,0.25,0.15,100.0,2000.0
Z-Wave Long Range,33.395833333333336,15.18,101.0,400.0,0.05,30.0,4000.0,100.0
Smart Ubiquitous Network-Wi-SUN (FAN),99.225,40.26,111.3,1860.0,0.05,7.0,250.0,1200.0
